,Team,Weighted_Result,Average_Point_Dif_Win,Average_Point_Dif_Loss
0,MIL,439.7068580000001,15.946428571428571,-9.235294117647058
1,LAC,348.32140870000006,14.428571428571429,-10.565217391304348
2,BOS,273.65089400000005,13.0,-7.083333333333333
3,DAL,232.19446600000003,14.13953488372093,-7.40625
4,TOR,225.09192710000005,11.773584905660377,-9.210526315789474
5,LAL,188.82603830000002,12.288461538461538,-12.0
6,MIA,129.74279730000006,11.477272727272727,-10.0
7,HOU,99.08343849999999,12.431818181818182,-11.928571428571429
8,OKC,92.87182980000001,10.159090909090908,-10.857142857142858
9,UTA,73.9553853,10.295454545454545,-9.821428571428571
10,PHI,50.19362050000003,11.255813953488373,-10.333333333333334
11,IND,39.58110470000001,10.511111111111111,-11.785714285714286
12,DEN,28.277697800000006,9.543478260869565,-10.555555555555555
13,NOP,3.2499727000000425,11.133333333333333,-10.166666666666666
14,POR,-11.685528300000009,9.583333333333334,-10.923076923076923
15,BRK,-12.245950700000003,10.571428571428571,-11.108108108108109
16,PHO,-13.160153300000037,12.235294117647058,-10.256410256410257
17,SAS,-20.203954700000008,9.09375,-9.487179487179487
18,MEM,-34.43357989999998,12.705882352941176,-12.85
19,ORL,-61.93706779999998,11.181818181818182,-11.075
20,CHI,-92.13632370000005,10.363636363636363,-9.953488372093023
21,MIN,-93.8840567,10.894736842105264,-10.71111111111111
22,SAC,-100.27063809999997,9.064516129032258,-10.439024390243903
23,DET,-140.1185918000001,14.0,-11.195652173913043
24,WAS,-187.56869799999998,9.96,-12.446808510638299
25,NYK,-236.215924,8.761904761904763,-13.555555555555555
26,ATL,-274.2644513000001,9.85,-15.553191489361701
27,CLE,-309.4573153999999,8.473684210526315,-14.652173913043478
28,GSW,-312.54526450000003,11.066666666666666,-14.64
29,CHO,-324.6199405,5.956521739130435,-13.714285714285714
